county_name,% Low Birthweight,# Primary Care Physicians,Primary Care Physicians Rate,% Vaccinated Flu,% Children in Poverty,Infant Mortality Rate,# Uninsured Children,% Uninsured Children,# Food Insecure,% Food Insecure,Segregation index_b,Other Primary Care Provider Rate,Other Primary Care Provider Ratio (str),Median Household Income,% Enrolled in Free or Reduced Lunch,Population,% Female,% Rural,year,% Broadband Access,% Less Than 18 Years of Age,mmr_dose_variance,mmr_doses_0_24_months,mmr_doses_2_8_years,mmr_doses_9_17_years,live_births,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Social Vulnerability Index (SVI),SVI Category,CVAC level of concern for vaccination rollout,CVAC Level Of Concern,other_pc_provider_ratio_numerator,other_pc_provider_ratio_denominator
Anderson,7.3070408904,20.0,34.637429999999995,43.0,22.6,,1385,11.824468539,10520,18.2,35.304894231,53.395799999999994,1873:1,45969,59.215550156,58057,38.773963519,67.063532793,2020,,,0.0,358.0,404.0,12.5,543,0.1398,0.2105,0.0948,0.79,High Vulnerability,0.95,Very High Concern,1873,1
Andrews,6.292749658,9.0,50.78434,24.0,14.0,,795,13.915631017,1480,8.4,25.861752745,66.19594,1511:1,84946,39.719626168,18128,48.84157105,16.502096578,2020,,,0.0,294.0,329.0,21.0,287,0.1166,0.1765,0.0789,0.47,Moderate Vulnerability,0.88,Very High Concern,1511,1
Angelina,9.0500485909,52.0,59.22214,48.0,26.7,5.9509640562,2795,11.982851018,16570,18.9,40.085463665,78.07835,1281:1,46653,66.865877485,87092,51.21480733,43.082366228,2020,,,0.0,774.0,906.0,25.0,1167,0.125,0.1935,0.0836,0.98,Very High Vulnerability,0.89,Very High Concern,1281,1
Aransas,9.2635212888,9.0,35.19474,42.0,34.7,,644,12.978637646,4100,16.5,59.778522614,46.23403,2163:1,46912,96.309383589,23792,50.609448554,27.260557907,2020,,,0.0,153.0,192.0,0.0,171,0.1183,0.18,0.0772,0.8,Very High Vulnerability,0.85,Very High Concern,2163,1
Archer,7.9777365492,,,46.0,14.3,,298,14.5153434,1230,14.0,,,,61190,29.387113672,8786,50.762576827,88.988292467,2020,,,0.0,94.0,77.0,5.0,69,0.1293,0.1898,0.087,0.09,Very Low Vulnerability,0.8,Very High Concern,,
Armstrong,8.6092715232,0.0,0.0,26.0,15.3,,66,14.798206278,250,13.1,,52.854119999999995,1892:1,57210,42.741935484,1892,51.479915433,100.0,2020,,,0.0,25.0,20.0,0.0,22,0.1241,0.1883,0.0824,0.16,Very Low Vulnerability,0.56,Moderate Concern,1892,1
Atascosa,7.9890962466,8.0,16.33286,36.0,23.9,4.9250535332,1448,10.409028826,4210,8.8,,43.72888,2287:1,50594,62.907510263,50310,50.141125025,60.711184342,2020,,,0.0,548.0,497.0,15.0,678,0.1146,0.174,0.0756,0.85,Very High Vulnerability,0.95,Very High Concern,2287,1
Austin,7.949790795,6.0,20.14369,40.0,16.9,,987,13.109310665,4300,14.7,23.413953827,50.01834,1999:1,59942,54.045365244,29989,50.135049518,66.344089805,2020,,,0.0,249.0,282.0,12.5,338,0.1114,0.1704,0.0738,0.49,Moderate Vulnerability,0.82,Very High Concern,1999,1
Bailey,7.4576271186,3.0,42.39084,41.0,26.1,,348,15.256466462,800,11.2,,85.38494,1171:1,45051,83.136710618,7027,50.206346947,28.750872296,2020,,,0.0,114.0,104.5,5.0,114,0.1143,0.1758,0.0766,0.8,Very High Vulnerability,0.96,Very High Concern,1171,1
Bandera,9.21386306,6.0,26.84444,39.0,22.8,,538,13.963145601,3090,14.5,,43.81353,2282:1,53008,51.017274472,22824,50.372415002,100.0,2020,,,0.0,135.0,95.5,0.0,164,0.1146,0.174,0.0756,0.51,Moderate Vulnerability,0.77,High Concern,2282,1
