county_name,% Low Birthweight,# Primary Care Physicians,Primary Care Physicians Rate,% Vaccinated Flu,% Children in Poverty,Infant Mortality Rate,# Uninsured Children,% Uninsured Children,# Food Insecure,% Food Insecure,Segregation index_b,Other Primary Care Provider Rate,Other Primary Care Provider Ratio (str),Median Household Income,% Enrolled in Free or Reduced Lunch,Population,% Female,% Rural,year,% Broadband Access,% Less Than 18 Years of Age,mmr_doses_0_24_months,mmr_doses_2_8_years,mmr_doses_9_17_years,live_births,kin_DTP_cov,kin_HepA_cov,kin_HepB_cov,kin_mmr_cov,kin_polio_cov,kin_varic_cov,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Social Vulnerability Index (SVI),SVI Category,CVAC level of concern for vaccination rollout,CVAC Level Of Concern,other_pc_provider_ratio_numerator,other_pc_provider_ratio_denominator,pop_tertiles,rural_pop_quartiles,%_pop_youth_imputed,%_pop_youth_imputed_yes_no,imr_imputed,imr_imputed_yes_no,live_births_imputed,live_births_imputed_yes_no,pop_0_24mos,mmr_dose_rate_0_24_months,mmr_doses_<18yrs,#_pop_youth_imputed,mmr_dose_rate_<18yrs,seg_missing_bool,segregation_imputed,segregation_imputed_yes_no
Anderson,7.3070408904,20.0,34.637429999999995,43.0,22.6,,1385,11.824468539,10520,18.2,35.304894231,53.3958,1873:1,45969,59.215550156,58057,38.773963519,67.063532793,2020,71.135936191,,359.0,400.0,7.5,543.0,0.9691780821917808,0.976027397260274,0.9811643835616438,0.9794520547945206,0.9794520547945206,0.9743150684931506,0.1398,0.2105,0.0948,0.79,High Vulnerability,0.95,Very High Concern,1873.0,1.0,large,rural,23.469542212999997,1.0,5.96637375055,1.0,543.0,0.0,539.7602590534514,66.51101002314603,766.5,1362571.2122601408,0.0562539405722936,False,35.304894231,0.0
Andrews,6.292749658,9.0,50.78434,24.0,14.0,,795,13.915631017,1480,8.4,25.861752745,66.19594,1511:1,84946,39.719626168,18128,48.84157105,16.502096578,2020,87.630548522,,295.0,335.0,17.5,287.0,0.9714285714285714,0.9714285714285714,0.9904761904761904,0.9904761904761904,0.984126984126984,0.9904761904761904,0.1166,0.1765,0.0789,0.47,Moderate Vulnerability,0.88,Very High Concern,1511.0,1.0,medium,very urban,23.469542212999997,1.0,5.96637375055,1.0,287.0,0.0,285.28765073359216,103.40440577832001,647.5,425455.86123726395,0.15218970027043738,False,25.861752745,0.0
Angelina,9.0500485909,52.0,59.22214,48.0,26.7,5.9509640562,2795,11.982851018,16570,18.9,40.085463665,78.07835,1281:1,46653,66.865877485,87092,51.21480733,43.082366228,2020,83.819458132,,779.0,912.0,25.0,1167.0,0.9786053882725833,0.9778129952456418,0.9841521394611727,0.9817749603803486,0.9786053882725833,0.9786053882725833,0.125,0.1935,0.0836,0.98,Very High Vulnerability,0.89,Very High Concern,1281.0,1.0,large,urban,23.469542212999997,1.0,5.9509640562,0.0,1167.0,0.0,1160.0552249464147,67.15197546185645,1716.0,2044009.3704145958,0.0839526483996468,False,40.085463665,0.0
Aransas,9.2635212888,9.0,35.19474,42.0,34.7,,644,12.978637646,4100,16.5,59.778522614,46.23403,2163:1,46912,96.309383589,23792,50.609448554,27.260557907,2020,83.42077851100001,,153.0,196.0,0.0,171.0,0.9617021276595744,0.9702127659574468,0.9829787234042552,0.9744680851063828,0.9702127659574468,0.9659574468085106,0.1183,0.18,0.0772,0.8,Very High Vulnerability,0.85,Very High Concern,2163.0,1.0,medium,urban,23.469542212999997,1.0,5.96637375055,1.0,171.0,0.0,169.97975008865595,90.01072181845198,349.0,558387.3483316959,0.06250141609452894,False,59.778522614,0.0
Archer,7.9777365492,,,46.0,14.3,,298,14.5153434,1230,14.0,,,,61190,29.387113672,8786,50.762576827,88.988292467,2020,76.5869256025,,99.5,78.0,5.0,69.0,0.9859154929577464,0.9788732394366196,0.9859154929577464,0.9859154929577464,0.9859154929577464,0.9859154929577464,0.1293,0.1898,0.087,0.09,Very Low Vulnerability,0.8,Very High Concern,,,small,very rural,23.469542212999997,1.0,5.96637375055,1.0,69.0,0.0,68.58832021121205,145.06843102965342,182.5,206203.397883418,0.08850484612439836,True,41.965456189,1.0
Armstrong,8.6092715232,0.0,0.0,26.0,15.3,,66,14.798206278,250,13.1,,52.85412,1892:1,57210,42.741935484,1892,51.479915433,100.0,2020,83.4169868715,,22.5,20.0,0.0,22.0,0.925925925925926,0.925925925925926,0.925925925925926,0.925925925925926,0.925925925925926,0.925925925925926,0.1241,0.1883,0.0824,0.16,Very Low Vulnerability,0.56,Moderate Concern,1892.0,1.0,small,very rural,23.469542212999997,1.0,5.96637375055,1.0,22.0,0.0,21.8687397774879,102.88658710531611,42.5,44404.37386699599,0.09571129215175932,True,41.965456189,1.0
Atascosa,7.9890962466,8.0,16.33286,36.0,23.9,4.9250535332,1448,10.409028826,4210,8.8,,43.72888,2287:1,50594,62.907510263,50310,50.141125025,60.711184342,2020,81.44434226050001,,553.0,507.0,15.0,678.0,0.988135593220339,0.9932203389830508,0.9966101694915256,0.9983050847457628,0.9932203389830508,0.994915254237288,0.1146,0.174,0.0756,0.85,Very High Vulnerability,0.95,Very High Concern,2287.0,1.0,large,rural,23.469542212999997,1.0,4.9250535332,0.0,678.0,0.0,674.6608137044904,81.96711425457426,1075.0,1180752.6687360299,0.09104362229820444,True,41.965456189,1.0
Austin,7.949790795,6.0,20.14369,40.0,16.9,,987,13.109310665,4300,14.7,23.413953827,50.01834,1999:1,59942,54.045365244,29989,50.135049518,66.344089805,2020,77.45695469750001,,249.0,286.0,10.0,338.0,0.981132075471698,0.981132075471698,0.9784366576819408,0.9838274932614556,0.981132075471698,0.981132075471698,0.1114,0.1704,0.0738,0.49,Moderate Vulnerability,0.82,Very High Concern,1999.0,1.0,medium,rural,23.469542212999997,1.0,5.96637375055,1.0,338.0,0.0,335.9833656723141,74.11081185574248,545.0,703828.1014256569,0.07743368002727674,False,23.413953827,0.0
Bailey,7.4576271186,3.0,42.39084,41.0,26.1,,348,15.256466462,800,11.2,,85.38494,1171:1,45051,83.136710618,7027,50.206346947,28.750872296,2020,71.7998761075,,116.0,107.5,5.0,114.0,0.9775280898876404,0.898876404494382,0.9662921348314608,0.9887640449438202,0.9775280898876404,0.9325842696629212,0.1143,0.1758,0.0766,0.8,Very High Vulnerability,0.96,Very High Concern,1171.0,1.0,small,urban,23.469542212999997,1.0,5.96637375055,1.0,114.0,0.0,113.3198333924373,102.36513461706305,228.5,164920.47313075096,0.13855162774050642,True,41.965456189,1.0
Bandera,9.21386306,6.0,26.84444,39.0,22.8,,538,13.963145601,3090,14.5,,43.81353,2282:1,53008,51.017274472,22824,50.372415002,100.0,2020,83.211575298,,136.0,99.5,0.0,164.0,0.9398907103825136,0.9562841530054644,0.9617486338797814,0.9562841530054644,0.9453551912568308,0.9453551912568308,0.1146,0.174,0.0756,0.51,Moderate Vulnerability,0.77,High Concern,2282.0,1.0,medium,very rural,23.469542212999997,1.0,5.96637375055,1.0,164.0,0.0,163.0215147049098,83.42457144149208,235.5,535668.831469512,0.043963730231222846,True,41.965456189,1.0
