County_Name,Source_Name,Component_Source_Name,Type_Desc,HPSA_Score
Lubbock,TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER,TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER,Federally Qualified Health Center,22
Lubbock,"Community Health Center Of Lubbock, Inc., The","Community Health Center Of Lubbock, Inc., The",Federally Qualified Health Center,22
Dallas,"Healing Hands Ministries, Inc","Healing Hands Ministries, Inc",Federally Qualified Health Center,21
Denton,"Health Services of North Texas , Inc.","Health Services of North Texas , Inc.",Federally Qualified Health Center,21
Dallas,Dallas County Hospital District,Dallas County Hospital District,Federally Qualified Health Center,21
Dallas,MISSION EAST DALLAS AND METROPLEX PROJECT,MISSION EAST DALLAS AND METROPLEX PROJECT,Federally Qualified Health Center,21
Brazoria,"Stephen F. Austin Community Health Center, Inc.","Stephen F. Austin Community Health Center, Inc.",Federally Qualified Health Center,21
Harris,"Houston Area Community Services, Inc.","Houston Area Community Services, Inc.",Federally Qualified Health Center,21
Harris,"Asian American Health Coalition Of the Greater Houston Area, Inc.","Asian American Health Coalition Of the Greater Houston Area, Inc.",Federally Qualified Health Center,21
Tarrant,North Texas Area Community Health Centers Inc,North Texas Area Community Health Centers Inc,Federally Qualified Health Center,21
Harris,SPRING BRANCH COMMUNITY HEALTH CENTER,SPRING BRANCH COMMUNITY HEALTH CENTER,Federally Qualified Health Center,21
Dallas,"Los Barrios Unidos Community Clinic, Inc.","Los Barrios Unidos Community Clinic, Inc.",Federally Qualified Health Center,21
Harris,"Houston Community Health Centers, Inc.","Houston Community Health Centers, Inc.",Federally Qualified Health Center,21
Harris,"Legacy Community Health Services, Inc.","Legacy Community Health Services, Inc.",Federally Qualified Health Center,21
Harris,Health Care for the Homeless-Houston,Health Care for the Homeless-Houston,Federally Qualified Health Center,21
Harris,"PASADENA HEALTH CENTER, INC.","PASADENA HEALTH CENTER, INC.",Federally Qualified Health Center,21
El Paso,PROJECT VIDA HEALTH CENTER,PROJECT VIDA HEALTH CENTER,Federally Qualified Health Center,21
Harris,EL CENTRO DEL CORAZON,EL CENTRO DEL CORAZON,Federally Qualified Health Center,21
Montgomery,"LONE STAR COMMUNITY HEALTH CENTER, INC","LONE STAR COMMUNITY HEALTH CENTER, INC",Federally Qualified Health Center,21
Harris,BEE BUSY WELLNESS CENTER,BEE BUSY WELLNESS CENTER,Federally Qualified Health Center,21
El Paso,Centro San Vicente,Centro San Vicente,Federally Qualified Health Center,21
Bexar,El Centro Del Barrio,El Centro Del Barrio,Federally Qualified Health Center,21
Bexar,"BARRIO COMPREHENSIVE FAMILY HEALTH CARE CENTER, INC.","BARRIO COMPREHENSIVE FAMILY HEALTH CARE CENTER, INC.",Federally Qualified Health Center,21
Harris,Harris Health System,Harris Health System,Federally Qualified Health Center,21
Brazos,"Brazos Valley Community Action Agency, Inc.","Brazos Valley Community Action Agency, Inc.",Federally Qualified Health Center,21
Dallas,Martin Luther King Jr Family Clinic Inc,Martin Luther King Jr Family Clinic Inc,Federally Qualified Health Center,21
Hunt,"Community Health Service Agency, Inc. Of Hunt County, The","Community Health Service Agency, Inc. Of Hunt County, The",Federally Qualified Health Center,21
Galveston,COASTAL HEALTH & WELLNESS,COASTAL HEALTH & WELLNESS,Federally Qualified Health Center,21
