CMN_STATE_ABBR,PROVIDER_1000_POP_RATIO_IMU,MUA_POPULATION_TYP_DESC,COUNTY_NM,MUA_COMP_UPDATE_DT_TXT,MUA_SCORE,RURAL_STATUS_DESC
TX,,MUP Low Income,Harris,2/6/07,64.1,Non-Rural
TX,,MUP Low Income,Harris,2/6/07,64.1,Non-Rural
TX,,MUP Low Income,Harris,2/6/07,64.1,Non-Rural
TX,,MUP Low Income,Harris,2/6/07,64.1,Non-Rural
TX,,MUP Low Income,Harris,2/6/07,64.1,Non-Rural
TX,,MUP Low Income,Harris,2/6/07,64.1,Non-Rural
TX,,MUP Low Income,Harris,2/6/07,64.1,Non-Rural
TX,,MUP Low Income,Harris,2/6/07,64.1,Non-Rural
TX,,MUP Low Income,Harris,2/6/07,64.1,Non-Rural
TX,,MUP Low Income,Harris,2/6/07,64.1,Non-Rural
TX,,MUP Low Income,Harris,2/6/07,64.1,Non-Rural
TX,,MUP Low Income,Harris,2/6/07,64.1,Non-Rural
TX,0.5,MUP Low Income,Comal,11/29/19,62,Non-Rural
TX,,Medically Underserved Area,Anderson,11/1/78,42.4,Rural
TX,,Medically Underserved Area,Angelina,7/12/94,52.15,Rural
TX,,Medically Underserved Area,Angelina,7/12/94,52.15,Rural
TX,2.8,Medically Underserved Area,Aransas,5/13/19,49,Partially Rural
TX,,Medically Underserved Area,Archer,7/12/94,48.4,Rural
TX,,Medically Underserved Area,Archer,7/12/94,48.4,Non-Rural
TX,0,Medically Underserved Area,Archer,5/13/19,61.4,Partially Rural
TX,,MUP Low Income,Dallas,7/2/10,61.6,Non-Rural
TX,,MUP Low Income,Dallas,7/2/10,61.6,Non-Rural
TX,,MUP Low Income,Dallas,7/2/10,61.6,Non-Rural
TX,,MUP Low Income,Dallas,7/2/10,61.6,Non-Rural
TX,,MUP Low Income,Dallas,7/2/10,61.6,Non-Rural
TX,,MUP Low Income,Dallas,7/2/10,61.6,Non-Rural
TX,,MUP Low Income,Dallas,7/2/10,61.6,Non-Rural
TX,,MUP Low Income,Dallas,7/2/10,61.6,Non-Rural
TX,,MUP Low Income,Dallas,7/2/10,61.6,Non-Rural
TX,,MUP Low Income,Dallas,7/2/10,61.6,Non-Rural
TX,,MUP Low Income,Dallas,7/2/10,61.6,Non-Rural
TX,,MUP Low Income,Dallas,7/2/10,61.6,Non-Rural
TX,,Medically Underserved Area,Archer,5/13/19,48.4,Rural
TX,,Medically Underserved Area,Archer,5/13/19,48.4,Non-Rural
TX,,Medically Underserved Area,Archer,6/25/19,48.4,
TX,,Medically Underserved Area,Archer,6/25/19,48.4,
TX,0,Medically Underserved Area,Armstrong,2/13/19,56.8,Rural
TX,,Medically Underserved Area,Atascosa,11/1/78,43.1,Non-Rural
TX,2.8,Medically Underserved Area,Austin,2/13/19,60.6,Rural
TX,0,Medically Underserved Area,Bandera,3/19/19,48.3,Partially Rural
TX,,Medically Underserved Area,Bastrop,11/1/78,42.6,Non-Rural
TX,,Medically Underserved Area,Baylor,11/1/78,61.4,Rural
TX,,Medically Underserved Area,Baylor,8/12/19,61.4,Rural
TX,2.8,Medically Underserved Area,Bee,11/29/19,61,Rural
TX,,Medically Underserved Area,Bell,3/27/07,57,Non-Rural
TX,,Medically Underserved Area,Bell,6/9/14,57.1,Non-Rural
TX,,Medically Underserved Area,Bell,6/9/14,57.1,Non-Rural
TX,,Medically Underserved Area,Bell,6/9/14,57.1,Non-Rural
TX,,Medically Underserved Area,Bexar,2/1/94,54.8,Non-Rural
TX,,Medically Underserved Area,Bexar,2/1/94,54.8,Non-Rural
TX,,Medically Underserved Area,Bexar,2/1/94,54.8,Non-Rural
TX,,Medically Underserved Area,Bexar,2/1/94,54.8,Non-Rural
TX,,Medically Underserved Area,Bexar,2/1/94,54.8,Non-Rural
TX,,Medically Underserved Area,Bexar,2/1/94,54.8,Non-Rural
TX,,Medically Underserved Area,Bexar,2/1/94,54.8,Non-Rural
TX,,Medically Underserved Area,Bexar,2/1/94,54.8,Non-Rural
TX,,Medically Underserved Area,Bexar,2/1/94,54.8,Non-Rural
TX,,Medically Underserved Area,Bexar,2/1/94,54.8,Non-Rural
TX,,Medically Underserved Area,Bexar,2/1/94,54.8,Non-Rural
TX,,Medically Underserved Area,Bexar,2/1/94,54.8,Non-Rural
TX,,Medically Underserved Area,Bexar,2/1/94,54.8,Non-Rural
TX,,Medically Underserved Area,Bexar,5/4/94,53.3,Non-Rural
TX,,Medically Underserved Area,Bexar,5/4/94,53.3,Non-Rural
TX,,Medically Underserved Area,Bexar,5/4/94,53.3,Non-Rural
TX,,Medically Underserved Area,Bexar,5/4/94,53.3,Non-Rural
TX,,Medically Underserved Area,Bexar,5/4/94,53.3,Non-Rural
TX,,Medically Underserved Area,Bexar,5/4/94,53.3,Non-Rural
TX,,Medically Underserved Area,Bexar,5/4/94,53.3,Non-Rural
