county_name,% Low Birthweight,# Primary Care Physicians,Primary Care Physicians Rate,% Vaccinated Flu,% Children in Poverty,Infant Mortality Rate,# Uninsured Children,% Uninsured Children,# Food Insecure,% Food Insecure,Segregation index_b,Other Primary Care Provider Rate,Median Household Income,% Enrolled in Free or Reduced Lunch,Population,% Female,% Rural,year,% Broadband Access,% Less Than 18 Years of Age,live_births,kin_DTP_cov,kin_HepA_cov,kin_HepB_cov,kin_polio_cov,kin_varic_cov,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Social Vulnerability Index (SVI),CVAC level of concern for vaccination rollout,other_pc_provider_ratio_numerator,seg_missing_bool
Anderson,7.3070408904,20.0,34.637429999999995,43.0,22.6,,1385,11.824468539,10520,18.2,35.304894231,53.3958,45969,59.215550156,58057,38.773963519,67.063532793,2020,,,543.0,0.9691780821917808,0.976027397260274,0.9811643835616438,0.9794520547945206,0.9743150684931506,0.1398,0.2105,0.0948,0.79,0.95,1873.0,0
Medina,8.1729567608,14.0,27.96309,37.0,17.9,6.1823802164,1368,11.133718564,4440,9.1,52.730520001,19.63826,59304,58.636085091,50921,48.398499637,61.555014563,2020,,,597.0,0.9822695035460992,0.9810874704491724,0.9893617021276596,0.9858156028368794,0.9775413711583923,0.1146,0.174,0.0756,0.67,0.95,5092.0,0
Menard,,1.0,47.08098,27.0,40.8,,71,18.34625323,270,12.7,,46.75082,35881,72.063492063,2139,50.350631136,100.0,2020,,,14.0,1.0,1.0,1.0,1.0,1.0,0.1235,0.1873,0.0822,0.59,0.97,2139.0,1
Midland,8.2433114589,59.0,35.74696,42.0,13.5,5.9576691926,7145,14.548675449,16420,10.3,42.694441943,87.49667000000001,80189,46.301894397,172578,49.528329219,12.291776258,2020,,,2919.0,0.9660892001474384,0.9587172871360118,0.978252856616292,0.9712495392554368,0.9609288610394398,0.1034,0.1564,0.067,0.47,0.72,1143.0,0
Milam,7.4387947269,2.0,7.98308,40.0,25.4,,754,11.91906418,4120,16.8,22.632995263,67.64554,46720,65.911474722,25131,50.718236441,56.182089914,2020,,,295.0,0.98125,0.978125,0.9875,0.984375,0.984375,0.1225,0.1864,0.0827,0.76,0.95,1478.0,0
Mills,9.3425605536,2.0,40.64215,18.0,24.6,,203,19.670542636,690,14.2,,60.96322,47068,59.022118743,4921,50.091444828,100.0,2020,,,28.0,0.98,0.98,0.98,0.98,0.98,0.1264,0.1929,0.0847,0.77,0.95,1640.0,1
Mitchell,9.9270072993,4.0,47.23666,26.0,26.7,,247,13.251072961,1080,12.3,21.92063978,24.55494,48529,55.808980756,8145,41.669736034,36.74359247,2020,,,72.0,0.9690721649484536,0.979381443298969,0.979381443298969,0.979381443298969,0.979381443298969,0.1278,0.1901,0.086,0.62,0.97,4073.0,0
Montague,8.141025641,6.0,30.70782,26.0,20.9,,712,15.371329879,3270,16.9,,15.30925,50542,54.915354915,19596,50.918554807,58.943151275,2020,,,210.0,0.881578947368421,0.912280701754386,0.9210526315789472,0.8859649122807017,0.8728070175438597,0.1293,0.1898,0.087,0.58,0.93,6532.0,1
Montgomery,7.1694504913,354.0,62.00366,47.0,12.9,5.0282714055,17341,10.888552609,73710,13.8,38.267285974,66.67513000000001,77598,42.256969762,590925,50.457672293,22.725597153,2020,,,7433.0,0.9536771728748806,0.9452005730659024,0.9621537726838586,0.9570200573065902,0.9472301814708692,0.1086,0.1585,0.0725,0.39,0.67,1500.0,0
Moore,7.4931880109,10.0,45.25501,40.0,16.8,,1274,17.411507448,2480,11.3,50.009511128,27.92646,53785,64.498255695,21485,48.056783803,16.814280497,2020,,,368.0,0.9242424242424242,0.914141414141414,0.9343434343434344,0.9318181818181818,0.9242424242424242,0.1241,0.1883,0.0824,0.7,0.88,3581.0,0
Morris,10.309278351,2.0,16.042350000000003,43.0,31.1,,291,9.8310810811,2770,22.1,15.76101116,32.417539999999995,41418,74.700052165,12339,51.908582543,78.421215401,2020,,,135.0,0.9782608695652174,0.9855072463768116,0.9855072463768116,0.9782608695652174,0.9710144927536232,0.1283,0.1937,0.0866,0.73,0.97,3085.0,0
Motley,,0.0,0.0,26.0,30.3,,39,16.455696203,170,15.6,,81.03728,41009,76.162790698,1234,48.622366288,100.0,2020,,,12.0,1.0,1.0,1.0,1.0,1.0,0.1143,0.1758,0.0766,0.7,0.87,1234.0,1
Nacogdoches,7.9009433962,46.0,70.14334000000001,48.0,25.5,3.9473684211,1854,11.841348917,14130,21.6,47.871475508,85.22165,45357,65.008960573,65711,52.094778652,46.460231852,2020,,,790.0,0.9825174825174824,0.9731934731934732,0.9848484848484848,0.9813519813519812,0.9825174825174824,0.125,0.1935,0.0836,0.98,0.9,1173.0,0
Navarro,8.4238573478,22.0,45.17361,47.0,27.7,6.6417600664,1598,12.168748096,8270,17.1,31.799995591,48.42127,46259,69.656887121,49565,50.947240997,52.657379281,2020,,,645.0,0.9859154929577464,0.9859154929577464,0.9935979513444302,0.9859154929577464,0.9859154929577464,0.1248,0.188,0.085,0.97,0.95,2065.0,0
Newton,8.9343379978,,,34.0,29.2,,305,10.353021045,3050,21.5,39.14630123,14.549690000000002,43367,76.827956989,13746,48.595955187,100.0,2020,,,127.0,0.9274193548387096,0.9274193548387096,0.9435483870967742,0.935483870967742,0.9274193548387096,0.1428,0.2169,0.0983,0.72,0.96,6873.0,0
Nolan,8.217270195,4.0,27.08192,33.0,26.5,,400,10.062893082,2150,14.3,47.316498841,67.79200999999999,42522,61.59083875,14751,50.037285608,32.656414301,2020,,,202.0,0.9876543209876544,0.9794238683127572,0.9958847736625516,0.9917695473251028,0.9835390946502056,0.1278,0.1901,0.086,0.89,0.96,1475.0,0
Nueces,8.6236470101,299.0,82.77481,40.0,22.6,4.9626325584,8894,9.5181019445,41660,11.6,38.909542732,94.12999,53034,72.641777385,362265,50.551667978,6.447241956,2020,,,4391.0,0.9824978392394124,0.9796888504753674,0.9870354364736388,0.9848746758859118,0.9822817631806396,0.1011,0.1589,0.0646,0.84,0.89,1062.0,0
Ochiltree,6.5853658537,4.0,39.71012,33.0,15.7,,640,18.979833926,1030,9.8,65.179531284,20.10656,49845,58.138489209,9947,49.431989545,13.90981121,2020,,,125.0,0.9407894736842104,0.9539473684210528,0.9605263157894736,0.9539473684210528,0.9342105263157896,0.1241,0.1883,0.0824,0.58,0.9,4974.0,0
Oldham,7.2289156627,,,40.0,25.4,,33,10.3125,300,14.6,,46.92633,56590,47.222222222,2131,47.958704833,100.0,2020,,,26.0,0.9821428571428572,0.9821428571428572,1.0,0.9821428571428572,0.9642857142857144,0.1241,0.1883,0.0824,0.43,0.72,2131.0,1
Orange,9.4620133552,18.0,21.16477,43.0,20.1,8.5382948898,1773,8.0048760666,15950,19.0,74.836052417,34.70062,56556,66.346282205,83572,50.415210836,35.171132862,2020,,,1038.0,0.955160744500846,0.955160744500846,0.9619289340101524,0.9593908629441624,0.9467005076142132,0.1338,0.1949,0.0899,0.58,0.86,2882.0,0
Palo Pinto,7.8571428571,12.0,42.002100000000006,44.0,25.0,7.7639751553,915,13.093875215,4690,16.7,59.888198181,51.94805,46067,67.854799913,28875,50.701298701,50.215218242,2020,,,344.0,0.9456521739130436,0.9619565217391304,0.9646739130434784,0.9510869565217392,0.9510869565217392,0.1134,0.1689,0.0762,0.88,0.93,1925.0,0
Panola,7.7704418487,8.0,34.41896,38.0,25.9,9.9502487562,666,11.688311688,4510,19.1,31.072430937,25.92017,51192,50.373038333,23148,50.509763262,72.718103883,2020,,,264.0,0.8850574712643678,0.9616858237547892,0.9770114942528736,0.9003831417624522,0.896551724137931,0.1282,0.1918,0.0871,0.7,0.92,3858.0,0
Parker,6.7543512658,59.0,44.20701,46.0,11.5,5.8893990817,3831,10.972675717,17560,13.9,61.997470481,35.41204,73718,33.621517771,138371,50.226564815,56.084565584,2020,,,1636.0,0.9442912300055156,0.942084942084942,0.9509100937672368,0.948703805846663,0.9442912300055156,0.1198,0.1716,0.0811,0.26,0.68,2824.0,0
Parmer,6.945681211,2.0,20.32107,31.0,19.2,,544,18.440677966,910,9.3,,111.51663,50539,74.488926746,9864,48.063665856,60.015580874,2020,,,169.0,0.9176470588235294,0.9352941176470588,0.9529411764705882,0.923529411764706,0.9058823529411764,0.1241,0.1883,0.0824,0.76,0.97,897.0,1
Pecos,9.5693779904,7.0,44.77421,16.0,24.3,,537,13.716475096,1290,8.2,,82.94519,47008,62.484510533,15673,43.137880431,39.77558522,2020,,,217.0,0.9705882352941176,0.9789915966386554,0.9915966386554622,0.9789915966386554,0.9495798319327732,0.1166,0.1765,0.0789,0.82,0.98,1206.0,1
Polk,7.0808844109,29.0,58.98865,45.0,24.7,6.4715813168,1422,13.665193158,8880,18.9,46.391874528,49.96901999999999,46017,75.7077495,50031,46.159381184,77.638561645,2020,,,497.0,0.9461077844311376,0.9500998003992016,0.9740518962075848,0.9520958083832336,0.93812375249501,0.1365,0.206,0.093,0.91,0.97,2001.0,0
Potter,9.6320023838,90.0,74.71484000000001,47.0,27.7,7.9912822376,4229,12.466100696,20070,16.6,47.738630094,189.72319,41912,73.617192207,119648,48.50812383,8.9962254177,2020,,,1582.0,0.9741501416430596,0.9691926345609064,0.9815864022662888,0.976628895184136,0.9720254957507082,0.1281,0.2007,0.0864,0.92,0.87,527.0,0
Presidio,7.9852579853,2.0,27.948570000000004,12.0,35.2,,285,14.630390144,970,13.5,,43.17789,37738,89.677010766,6948,48.805411629,40.470708621,2020,,,74.0,0.9897959183673468,0.9387755102040816,0.979591836734694,0.979591836734694,0.9693877551020408,0.1166,0.1765,0.0789,1.0,0.99,2316.0,1
McLennan,8.2675546785,187.0,74.42519,49.0,23.4,6.8851099129,6105,9.5728666855,44960,18.3,41.276867876,72.26824,48858,61.807808723,254607,51.115248206,23.351893949,2020,,,3199.0,0.9707960433349034,0.9689119170984456,0.9745642958078192,0.9710315591144608,0.9689119170984456,0.1128,0.178,0.0742,0.84,0.88,1384.0,0
McCulloch,7.654723127,4.0,50.2702,23.0,28.2,,243,13.015532941,1130,13.8,38.048048048,37.56104,42719,66.575716235,7987,49.768373607,35.325365206,2020,,,76.0,0.988095238095238,0.988095238095238,0.988095238095238,0.988095238095238,0.988095238095238,0.1235,0.1873,0.0822,0.74,0.93,2662.0,0
Maverick,7.9604578564,15.0,25.76611,26.0,35.0,5.4275880328,2420,12.774493243,5740,10.0,55.092817391,46.16568,35594,76.292689617,58485,50.110284688,9.2557779498,2020,,,1026.0,0.9864995178399228,0.9797492767598844,0.9942140790742526,0.9932497589199616,0.982642237222758,0.107,0.1724,0.0705,0.97,1.0,2166.0,0
Matagorda,8.5486018642,14.0,38.00217,38.0,27.8,,1164,12.019826518,6200,16.9,43.297337313,54.71657,48830,65.86013986,36552,49.619719851,36.417633916,2020,,,495.0,0.9767857142857144,0.9696428571428573,0.9821428571428572,0.9767857142857144,0.9767857142857144,0.1114,0.1704,0.0738,0.91,0.94,1828.0,0
Kaufman,8.2398348443,39.0,31.73751,50.0,15.3,5.6159086724,3831,10.795806797,16950,14.8,36.9588973,42.76096,67434,48.385723409,128622,50.739375846,48.817610063,2020,,,2028.0,0.96048632218845,0.9594731509625126,0.9706180344478216,0.9620060790273556,0.9498480243161094,0.1236,0.185,0.0839,0.57,0.77,2339.0,0
Kendall,7.1287908625,38.0,86.31263,47.0,10.5,,1355,12.362010765,4560,11.3,34.701562339,105.1686,90937,23.858383132,45641,51.030871366,58.159233762,2020,,,385.0,0.9370277078085644,0.9345088161209067,0.9408060453400504,0.9382871536523928,0.9357682619647356,0.1008,0.1475,0.0669,0.23,0.47,951.0,0
Kenedy,,0.0,0.0,44.0,20.3,,16,13.223140496,70,11.6,,0.0,42153,76.923076923,442,48.416289593,100.0,2020,,,,1.0,1.0,1.0,1.0,1.0,0.0992,0.1603,0.0642,0.73,0.99,442.0,1
Kent,,0.0,0.0,20.0,20.3,,24,15.094339623,100,14.9,,0.0,47625,36.184210526,726,50.275482094,100.0,2020,,,,1.0,1.0,1.0,1.0,1.0,0.1278,0.1901,0.086,0.44,0.91,726.0,1
Kerr,8.1704668838,44.0,85.07347,49.0,23.3,5.731441048,1384,13.452566096,7110,14.0,50.668821992,87.77788,53704,59.460610362,52405,51.87672932,41.102267003,2020,,,485.0,0.9388145315487572,0.9349904397705544,0.9541108986615678,0.9388145315487572,0.9196940726577438,0.1008,0.1475,0.0669,0.7,0.6,1139.0,0
Kimble,6.862745098,3.0,68.02721,24.0,35.9,,105,12.589928058,710,16.1,,114.62632,42503,61.463414634,4362,51.077487391,44.302148904,2020,,,54.0,0.9583333333333334,0.9791666666666666,0.9791666666666666,0.9583333333333334,0.9583333333333334,0.1235,0.1873,0.0822,0.59,0.82,872.0,1
King,,0.0,0.0,,15.7,,18,20.454545455,40,15.5,,0.0,57925,0.0,277,49.458483755,100.0,2020,,,,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.1143,0.1758,0.0766,0.2,0.68,277.0,1
Kinney,8.0,,,25.0,26.6,,100,13.192612137,320,8.7,,26.54632,43192,59.487179487,3767,44.942925405,20.455808783,2020,,,25.0,0.972972972972973,1.0,1.0,0.972972972972973,1.0,0.107,0.1724,0.0705,0.86,0.98,3767.0,1
Kleberg,7.773512476,14.0,45.03345,37.0,33.3,,714,9.1129546905,4100,13.0,35.094348084,44.97414,42605,67.918708038,31129,48.796941758,18.870278532,2020,,,376.0,0.988826815642458,0.9804469273743016,0.9916201117318436,0.988826815642458,0.988826815642458,0.0992,0.1603,0.0642,0.98,0.99,2224.0,0
Knox,8.2595870206,1.0,26.95418,13.0,31.5,,186,18.1640625,500,13.2,46.549184776,164.24856,39726,64.52991453,3653,50.479058308,100.0,2020,,,43.0,1.0,1.0,1.0,1.0,1.0,0.1278,0.1901,0.086,0.8,0.93,609.0,0
La Salle,9.1988130564,,,24.0,35.5,,116,7.4694140373,370,5.0,,119.50604,40072,87.391304348,7531,40.817952463,46.354923032,2020,,,79.0,0.9896907216494846,,,,0.979381443298969,0.107,0.1724,0.0705,0.82,0.97,837.0,1
Lamar,8.8082901554,25.0,50.41644,48.0,22.2,6.5416484954,1451,11.858450474,9970,20.2,40.132093431,98.53604,45767,62.569508804,49728,51.797779923,47.082923302,2020,,,632.0,0.9690265486725664,0.976401179941003,0.9823008849557522,0.976401179941003,0.971976401179941,0.1283,0.1937,0.0866,0.84,0.94,1015.0,0
Lamb,8.6722947045,3.0,22.71007,36.0,27.8,,557,14.677206851,1730,13.0,28.880957249,68.39945,42700,70.252951096,13158,50.425596595,57.687629677,2020,,,181.0,0.9942196531791908,0.9884393063583816,0.9942196531791908,0.9942196531791908,0.9884393063583816,0.1143,0.1758,0.0766,0.9,0.99,1462.0,0
