% Low Birthweight,# Primary Care Physicians,Primary Care Physicians Rate,% Vaccinated Flu,% Children in Poverty,Infant Mortality Rate,# Uninsured Children,% Uninsured Children,# Food Insecure,% Food Insecure,Segregation index_b,Other Primary Care Provider Rate,Median Household Income,% Enrolled in Free or Reduced Lunch,Population,% Female,% Rural,year,% Broadband Access,% Less Than 18 Years of Age,live_births,kin_DTP_cov,kin_HepA_cov,kin_HepB_cov,kin_polio_cov,kin_varic_cov,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Social Vulnerability Index (SVI),CVAC level of concern for vaccination rollout,other_pc_provider_ratio_numerator,other_pc_provider_ratio_denominator,seg_missing_bool,OH__Low Vulnerability,OH__Moderate Vulnerability,OH__Very High Vulnerability,OH__Very Low Vulnerability,OH__Moderate Concern,OH__Very High Concern,OH__medium,OH__small
8.0698835275,5.0,16.68224,47.0,16.5,,1047,14.405613649,4030,13.5,28.248595886,59.24951,68150,53.472222222,30380,50.039499671,66.344089805,2023,,,,0.9477806788511748,0.9399477806788512,0.9556135770234988,0.9477806788511748,0.93733681462141,0.1114,0.1704,0.0738,0.49,0.82,1688.0,1.0,0,0,1,0,0,0,1,1,0
6.9341474051,2.0,10.94271,34.0,24.1,,970,16.898954704,2000,10.8,,103.66087,50967,76.957605985,18329,49.811773692,17.711129465,2023,,,,0.9834983498349836,0.99009900990099,0.9933993399339934,1.0,0.9933993399339934,0.1241,0.1883,0.0824,0.84,0.9,965.0,1.0,1,0,0,1,0,0,1,1,0
8.9076884797,57.0,65.67123000000001,50.0,26.4,7.0544554455,2984,13.443258098,15170,17.4,41.273274278,115.59892,50620,74.279898847,86506,50.954847063,43.082366228,2023,,,,0.9480176211453744,0.9524229074889868,0.9691629955947136,0.9559471365638766,0.947136563876652,0.125,0.1935,0.0836,0.98,0.89,865.0,1.0,0,0,0,1,0,0,1,0,0
8.9071383449,7.0,29.39447,55.0,27.8,,682,15.507048658,4500,18.6,,57.11953999999999,55435,68.006644518,24510,50.167278662,27.260557907,2023,,,,0.972093023255814,0.972093023255814,0.972093023255814,0.9674418604651164,0.9813953488372092,0.1183,0.18,0.0772,0.8,0.85,1751.0,1.0,1,0,0,1,0,0,1,1,0
7.604262597,24.0,26.20059,45.0,18.1,4.3982407037,3516,14.742138365,10440,12.0,42.292319466,47.03208,72809,72.02498763,102058,48.828117345,63.85244907,2023,,,,0.930928626247122,0.9462778204144282,0.9623944742900996,0.933231005372218,0.920951650038373,0.124,0.188,0.0827,0.75,0.85,2126.0,1.0,0,0,0,0,0,0,1,0,0
,0.0,0.0,36.0,13.2,,77,17.539863326,210,10.5,,0.0,64401,31.329113924,1839,50.679717238,100.0,2023,,,,1.0,0.96,1.0,1.0,1.0,0.1241,0.1883,0.0824,0.16,0.56,1839.0,0.0,1,0,0,0,1,1,0,0,1
7.9859678085,10.0,19.33338,40.0,23.8,,1777,12.442234981,5830,11.6,79.225644182,56.0684,57905,61.99440346,49939,49.968962134,60.711184342,2023,,,,0.9690265486725664,0.9690265486725664,0.9778761061946902,0.971976401179941,0.971976401179941,0.1146,0.174,0.0756,0.85,0.95,1784.0,1.0,0,0,0,1,0,0,1,0,0
7.3170731707,8.0,42.37513,24.0,15.4,,1195,19.430894309,2200,12.0,71.350793204,65.07592,70005,46.584302326,18440,48.926247289,16.502096578,2023,,,,0.9777070063694268,0.9554140127388536,0.9968152866242038,0.9840764331210192,0.9777070063694268,0.1166,0.1765,0.0789,0.47,0.88,1537.0,1.0,0,0,1,0,0,0,1,1,0
7.9329608939,2.0,29.86412,38.0,24.7,,384,19.248120301,710,10.2,,102.41405,47375,85.78908003,6835,49.656181419,28.750872296,2023,,,,0.926605504587156,0.9174311926605504,0.963302752293578,0.926605504587156,0.9174311926605504,0.1143,0.1758,0.0766,0.8,0.96,976.0,1.0,1,0,0,1,0,0,1,0,1
8.0,5.0,20.9547,45.0,19.4,,546,13.694507148,3400,14.9,,69.55715000000001,69051,51.484751204,21565,50.081150012,100.0,2023,,,,0.9109947643979056,0.9214659685863874,0.9319371727748692,0.9319371727748692,0.9214659685863874,0.1146,0.174,0.0756,0.51,0.77,1438.0,1.0,1,0,1,0,0,0,0,1,0
6.8093385214,7.0,50.90909,29.0,24.7,,443,14.090330789,1970,14.5,,65.33575,49076,65.346956152,13775,49.793103448,71.461285244,2023,,,,0.9825581395348836,0.9883720930232558,0.994186046511628,0.9883720930232558,0.9883720930232558,0.1278,0.1901,0.086,0.73,0.92,1531.0,1.0,1,0,0,0,0,0,1,1,0
6.8965517241,,,48.0,12.5,,313,15.912557194,1200,13.7,,11.51941,69286,31.87032419,8681,50.420458473,88.988292467,2023,,,,0.9420289855072465,0.9492753623188406,0.9492753623188406,0.9420289855072465,0.9420289855072465,0.1293,0.1898,0.087,0.09,0.8,8681.0,1.0,1,0,0,0,1,0,1,0,1
9.736632083,5.0,15.37846,37.0,30.9,7.9904115062,610,9.0450771056,5500,16.9,66.47505981,71.14215,45431,80.309339679,30924,38.701332299,42.97730768,2023,,,,0.9647435897435898,0.967948717948718,0.9775641025641024,0.967948717948718,0.9647435897435898,0.1183,0.18,0.0772,0.97,0.99,1406.0,1.0,0,0,0,1,0,0,1,1,0
,1.0,67.2495,34.0,24.3,,61,19.365079365,210,15.4,,71.27584,49905,52.480417755,1403,48.966500356,100.0,2023,,,,1.0,1.0,1.0,1.0,1.0,0.1241,0.1883,0.0824,0.46,0.95,1403.0,1.0,1,0,1,0,0,0,1,0,1
,0.0,0.0,28.0,12.0,,22,14.285714286,80,11.7,,0.0,69744,37.229437229,617,47.649918963,100.0,2023,,,,1.0,1.0,1.0,1.0,1.0,0.1235,0.1873,0.0822,0.06,0.72,617.0,0.0,1,0,0,0,1,0,0,0,1
6.0392156863,11.0,59.13025,34.0,19.8,,586,14.779319042,2850,15.5,25.971333562,48.64076,56041,65.77977896,18503,50.386423823,81.215681968,2023,,,,0.8944444444444445,0.9222222222222224,0.9388888888888888,0.9055555555555556,0.8944444444444445,0.1248,0.188,0.085,0.62,0.89,2056.0,1.0,0,0,0,0,0,0,1,1,0
10.533448318,63.0,67.39336999999999,45.0,23.6,9.200968523,2094,9.4375338021,14990,16.0,45.176024658,199.82502,52934,60.724991673,92581,49.448590964,35.424836601,2023,,,,0.9394856278366112,0.94553706505295,0.9546142208774584,0.94553706505295,0.9447806354009076,0.1356,0.2056,0.0926,0.85,0.86,500.0,1.0,0,0,0,1,0,0,1,0,0
8.2835415535,244.0,64.12312,47.0,11.8,4.6175704475,8777,8.4860966083,42840,11.6,45.420277373,73.74455999999999,82165,51.388176589,379689,49.30851302,22.52862699,2023,,,,0.963084495488105,0.963084495488105,0.9729286300246104,0.965135356849877,0.9639048400328136,0.1074,0.1608,0.071,0.51,0.69,1356.0,1.0,0,0,1,0,0,0,0,0,0
5.5467511886,9.0,97.43423,13.0,20.8,,273,15.61784897,1460,15.8,,95.2381,51197,56.625441696,9450,48.497354497,34.867850953,2023,,,,0.8939393939393939,0.9242424242424242,0.9242424242424242,0.8939393939393939,0.8787878787878788,0.1166,0.1765,0.0789,0.66,0.84,1050.0,1.0,1,0,0,0,0,0,1,1,0
8.4432717678,,,39.0,45.6,,181,9.4516971279,1700,23.9,,14.29797,33460,85.883171071,6994,48.827566486,31.759656652,2023,,,,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.0992,0.1603,0.0642,1.0,0.99,6994.0,1.0,1,0,0,1,0,0,1,0,1
8.3661065427,21.0,55.80209,43.0,22.3,7.5839653304,783,9.7740606666,5680,15.0,52.518803697,91.64223,48803,58.127235962,38192,50.201612903,40.40046187,2023,,,,0.9610091743119266,0.9564220183486238,0.9655963302752294,0.9610091743119266,0.9564220183486238,0.1278,0.1901,0.086,0.63,0.72,1091.0,1.0,0,0,0,0,0,0,0,0,0
9.2682926829,7.0,37.80923,46.0,20.7,,519,12.714355708,2440,13.4,27.821782098,49.85873,57469,60.883977901,18051,50.39056008,76.65677547,2023,,,,0.9736842105263158,0.9824561403508772,0.9824561403508772,0.9780701754385964,0.9736842105263158,0.1225,0.1864,0.0827,0.61,0.83,2006.0,1.0,0,0,0,0,0,0,1,1,0
7.132374523,21.0,42.29352,50.0,16.3,,1612,15.097873935,5760,12.1,70.950903274,76.53962,72510,60.967831392,50954,50.716332378,55.67251462,2023,,,,0.9158316633266532,0.9138276553106212,0.9278557114228456,0.9218436873747496,0.9218436873747496,0.1264,0.1929,0.0847,0.53,0.7,1307.0,1.0,0,0,1,0,0,0,0,0,0
7.3565473271,23.0,39.78895,45.0,24.5,,1282,11.478198585,8060,13.9,47.602799748,77.05216,54515,64.514557193,58402,38.051779049,67.063532793,2023,,,,0.96229802513465,0.9587073608617596,0.96229802513465,0.96229802513465,0.9551166965888688,0.1398,0.2105,0.0948,0.79,0.95,1298.0,1.0,0,0,0,0,0,0,1,0,0
8.8493981011,1505.0,74.25414,43.0,20.8,6.1205886183,51184,9.8073179331,288320,14.6,42.305089999,127.30274,63014,61.540029941,2028236,50.399509722,4.5390847652,2023,,,,0.9311357055020032,0.94133047721052,0.955730096394145,0.9334761394739974,0.929548970605736,0.1005,0.1587,0.0641,0.83,0.87,786.0,1.0,0,0,0,1,0,0,1,0,0
9.6551724138,5.0,142.12621,35.0,25.2,,106,12.942612943,560,15.7,30.43688815,115.0417,45408,57.32689211,3477,50.589588726,100.0,2023,,,,0.9215686274509804,0.9803921568627452,1.0,0.9411764705882352,0.9607843137254902,0.1293,0.1898,0.087,0.16,0.78,869.0,1.0,0,0,0,0,1,0,0,0,1
6.3271604938,6.0,48.903740000000006,48.0,14.2,,427,19.139399372,1510,12.9,,50.479560000000006,69247,39.323076923,11886,49.957933704,100.0,2023,,,,0.8559322033898306,0.8559322033898306,0.8983050847457628,0.8559322033898306,0.8389830508474576,0.1008,0.1475,0.0669,0.28,0.68,1981.0,1.0,1,1,0,0,0,0,0,1,0
9.0703517588,17.0,40.78206,42.0,22.7,6.6820868671,1688,15.464956482,5990,14.4,38.010056694,83.89061,56522,67.04730832,41721,50.459001462,49.895833333,2023,,,,0.9645390070921984,0.9680851063829788,0.973404255319149,0.9680851063829788,0.9627659574468084,0.1114,0.1704,0.0738,0.88,0.96,1192.0,1.0,0,0,0,1,0,0,1,0,0
7.874015748,2.0,27.04164,28.0,21.0,,401,18.607888631,820,10.9,,54.24464,62236,63.929440389,7374,48.630322756,45.757876457,2023,,,,0.9772727272727272,0.9659090909090908,0.9886363636363636,0.9659090909090908,0.9772727272727272,0.1241,0.1883,0.0824,0.78,0.99,1844.0,1.0,1,0,0,0,0,0,1,0,1
